n,changenumber_mean,repetition,changeprop_sd,number_before,proportion_estimates_below_zero,count_estimates_below_zero
30,0.15,1,0.1,0.7,0,0
30,0.15,2,0.1,0.7,0.004,8
30,0.15,3,0.1,0.7,0,0
30,0.15,4,0.1,0.7,0.193,386
30,0.15,5,0.1,0.7,0,0
30,0.15,6,0.1,0.7,0,0
30,0.15,7,0.1,0.7,5E-04,1
30,0.15,8,0.1,0.7,0,0
30,0.15,9,0.1,0.7,0,0
30,0.15,10,0.1,0.7,0,0
30,0.1,1,0.1,0.3,0.0275,55
30,0.1,2,0.1,0.3,0.0235,47
30,0.1,3,0.1,0.3,0.0295,59
30,0.1,4,0.1,0.3,0.044,88
30,0.1,5,0.1,0.3,0.338,676
30,0.1,6,0.1,0.3,0.2285,457
30,0.1,7,0.1,0.3,0.066,132
30,0.1,8,0.1,0.3,5E-04,1
30,0.1,9,0.1,0.3,0.1175,235
30,0.1,10,0.1,0.3,0.014,28
30,0.1,1,0.1,0.5,0.001,2
30,0.1,2,0.1,0.5,5E-04,1
30,0.1,3,0.1,0.5,0.0055,11
30,0.1,4,0.1,0.5,0.0035,7
30,0.1,5,0.1,0.5,0.076,152
30,0.1,6,0.1,0.5,0.001,2
30,0.1,7,0.1,0.5,0.0675,135
30,0.1,8,0.1,0.5,0.053,106
30,0.1,9,0.1,0.5,0,0
30,0.1,10,0.1,0.5,0.556,1112
30,0.1,1,0.1,0.7,0.0115,23
30,0.1,2,0.1,0.7,0.0205,41
30,0.1,3,0.1,0.7,0.0075,15
30,0.1,4,0.1,0.7,0,0
30,0.1,5,0.1,0.7,0,0
30,0.1,6,0.1,0.7,5E-04,1
30,0.1,7,0.1,0.7,0.015,30
30,0.1,8,0.1,0.7,0.009,18
30,0.1,9,0.1,0.7,5E-04,1
30,0.1,10,0.1,0.7,0.0095,19
30,0,1,0.1,0.3,0.3035,607
30,0,2,0.1,0.3,0.636,1272
30,0,3,0.1,0.3,0.4235,847
30,0,4,0.1,0.3,0.8445,1689
30,0,5,0.1,0.3,0.7715,1543
30,0,6,0.1,0.3,0.1935,387
30,0,7,0.1,0.3,0.5145,1029
30,0,8,0.1,0.3,0.37,740
30,0,9,0.1,0.3,0.2295,459
30,0,10,0.1,0.3,0.469,938
30,0,1,0.1,0.5,0.631,1262
30,0,2,0.1,0.5,0.225,450
30,0,3,0.1,0.5,0.4405,881
30,0,4,0.1,0.5,0.192,384
30,0,5,0.1,0.5,0.022,44
30,0,6,0.1,0.5,0.2795,559
30,0,7,0.1,0.5,0.362,724
30,0,8,0.1,0.5,0.159,318
30,0,9,0.1,0.5,0.428,856
30,0,10,0.1,0.5,0.7265,1453
30,0,1,0.1,0.7,0.098,196
30,0,2,0.1,0.7,0.2705,541
30,0,3,0.1,0.7,0.1125,225
30,0,4,0.1,0.7,0.14,280
30,0,5,0.1,0.7,0.892,1784
30,0,6,0.1,0.7,0.665,1330
30,0,7,0.1,0.7,0.2275,455
30,0,8,0.1,0.7,0.279,558
30,0,9,0.1,0.7,0.29,580
30,0,10,0.1,0.7,0.4465,893
40,0.3,1,0.1,0.3,0,0
40,0.3,2,0.1,0.3,0,0
40,0.3,3,0.1,0.3,0,0
40,0.3,4,0.1,0.3,0,0
40,0.3,5,0.1,0.3,0,0
40,0.3,6,0.1,0.3,0,0
40,0.3,7,0.1,0.3,0,0
40,0.3,8,0.1,0.3,0,0
40,0.3,9,0.1,0.3,0,0
40,0.3,10,0.1,0.3,0,0
40,0.3,1,0.1,0.5,0,0
40,0.3,2,0.1,0.5,0,0
40,0.3,3,0.1,0.5,0,0
40,0.3,4,0.1,0.5,0,0
40,0.3,5,0.1,0.5,0,0
40,0.3,6,0.1,0.5,0,0
40,0.3,7,0.1,0.5,0,0
40,0.3,8,0.1,0.5,0,0
40,0.3,9,0.1,0.5,0,0
40,0.3,10,0.1,0.5,0,0
40,0.3,1,0.1,0.7,0,0
40,0.3,2,0.1,0.7,0,0
40,0.3,3,0.1,0.7,0,0
40,0.3,4,0.1,0.7,0,0
40,0.3,5,0.1,0.7,0,0
40,0.3,6,0.1,0.7,0,0
40,0.3,7,0.1,0.7,0,0
40,0.3,8,0.1,0.7,0,0
40,0.3,9,0.1,0.7,0,0
40,0.3,10,0.1,0.7,0,0
40,0.25,1,0.1,0.3,0,0
40,0.25,2,0.1,0.3,0,0
40,0.25,3,0.1,0.3,0,0
40,0.25,4,0.1,0.3,0,0
40,0.25,5,0.1,0.3,0,0
40,0.25,6,0.1,0.3,0,0
40,0.25,7,0.1,0.3,0,0
40,0.25,8,0.1,0.3,0,0
40,0.25,9,0.1,0.3,0,0
40,0.25,10,0.1,0.3,0,0
40,0.25,1,0.1,0.5,0,0
40,0.25,2,0.1,0.5,0,0
40,0.25,3,0.1,0.5,0,0
40,0.25,4,0.1,0.5,0,0
40,0.25,5,0.1,0.5,0,0
40,0.25,6,0.1,0.5,0,0
40,0.25,7,0.1,0.5,0,0
40,0.25,8,0.1,0.5,0,0
40,0.25,9,0.1,0.5,0,0
40,0.25,10,0.1,0.5,0,0
40,0.25,1,0.1,0.7,0,0
40,0.25,2,0.1,0.7,0,0
40,0.25,3,0.1,0.7,0,0
40,0.25,4,0.1,0.7,0,0
40,0.25,5,0.1,0.7,0,0
40,0.25,6,0.1,0.7,0,0
40,0.25,7,0.1,0.7,0,0
40,0.25,8,0.1,0.7,0,0
40,0.25,9,0.1,0.7,0,0
40,0.25,10,0.1,0.7,0,0
40,0.2,1,0.1,0.3,0,0
40,0.2,2,0.1,0.3,0,0
40,0.2,3,0.1,0.3,0,0
40,0.2,4,0.1,0.3,0,0
40,0.2,5,0.1,0.3,0,0
40,0.2,6,0.1,0.3,0,0
40,0.2,7,0.1,0.3,0,0
40,0.2,8,0.1,0.3,0,0
40,0.2,9,0.1,0.3,0,0
40,0.2,10,0.1,0.3,0,0
40,0.2,1,0.1,0.5,0,0
40,0.2,2,0.1,0.5,0,0
40,0.2,3,0.1,0.5,0,0
40,0.2,4,0.1,0.5,0,0
40,0.2,5,0.1,0.5,0,0
40,0.2,6,0.1,0.5,0,0
40,0.2,7,0.1,0.5,0,0
40,0.2,8,0.1,0.5,0,0
40,0.2,9,0.1,0.5,0,0
40,0.2,10,0.1,0.5,0,0
40,0.2,1,0.1,0.7,0,0
40,0.2,2,0.1,0.7,0,0
40,0.2,3,0.1,0.7,0,0
40,0.2,4,0.1,0.7,0,0
40,0.2,5,0.1,0.7,0,0
40,0.2,6,0.1,0.7,0,0
40,0.2,7,0.1,0.7,0,0
40,0.2,8,0.1,0.7,0,0
40,0.2,9,0.1,0.7,0,0
40,0.2,10,0.1,0.7,0,0
40,0.15,1,0.1,0.3,0,0
40,0.15,2,0.1,0.3,0,0
40,0.15,3,0.1,0.3,5E-04,1
40,0.15,4,0.1,0.3,0.002,4
40,0.15,5,0.1,0.3,0.0035,7
40,0.15,6,0.1,0.3,0.0225,45
40,0.15,7,0.1,0.3,0,0
